scorer,DLC_resnet50_swallowing-trackingSep8shuffle1_1000000,DLC_resnet50_swallowing-trackingSep8shuffle1_1000000,DLC_resnet50_swallowing-trackingSep8shuffle1_1000000,DLC_resnet50_swallowing-trackingSep8shuffle1_1000000,DLC_resnet50_swallowing-trackingSep8shuffle1_1000000,DLC_resnet50_swallowing-trackingSep8shuffle1_1000000
bodyparts,complex,complex,complex,lowerJaw,lowerJaw,lowerJaw
coords,x,y,likelihood,x,y,likelihood
0,85.90097045898438,274.7098693847656,1.0,324.3453369140625,260.02960205078125,1.0
1,85.14344024658203,275.5186767578125,1.0,325.2348937988281,260.5800476074219,1.0
2,85.56651306152344,275.48394775390625,1.0,326.05670166015625,261.0474853515625,1.0
3,85.64390563964844,275.4734802246094,1.0,326.0133972167969,260.9300842285156,1.0
4,85.69345092773438,275.3858642578125,1.0,325.9714660644531,260.94256591796875,1.0
5,85.65869903564453,275.37506103515625,1.0,326.0587158203125,260.94415283203125,1.0
6,85.78047180175781,275.1728515625,1.0,326.0318298339844,260.8034973144531,1.0
7,85.56906127929688,275.1310729980469,1.0,325.8453063964844,260.42901611328125,1.0
8,85.67243194580078,274.9995422363281,1.0,324.8659362792969,259.7008972167969,1.0
9,85.67080688476562,274.9206237792969,1.0,324.92425537109375,259.8088073730469,1.0
10,85.7658462524414,274.70166015625,1.0,324.6857604980469,260.0818786621094,1.0
11,85.82366943359375,274.6611022949219,1.0,325.2894592285156,260.39404296875,1.0
12,85.70855712890625,274.18890380859375,1.0,325.174072265625,260.54339599609375,1.0
13,85.59478759765625,273.3654479980469,1.0,325.5521240234375,260.67327880859375,1.0
14,86.14726257324219,273.0077819824219,1.0,325.99468994140625,261.3298645019531,1.0
15,86.12679290771484,273.1096496582031,1.0,325.77484130859375,261.15325927734375,1.0
16,85.92975616455078,273.98638916015625,1.0,325.6673889160156,261.223388671875,1.0
17,86.1218032836914,272.99066162109375,1.0,326.3658752441406,261.2674865722656,1.0
18,86.26438903808594,272.8834533691406,1.0,326.3949279785156,261.39630126953125,1.0
19,86.20162963867188,273.10150146484375,1.0,326.3818664550781,261.3670349121094,1.0
20,85.9996109008789,273.8047180175781,1.0,326.5841369628906,261.5111083984375,1.0
21,85.96228790283203,273.2279052734375,1.0,326.69482421875,261.6093444824219,1.0
22,86.29851531982422,274.1580505371094,1.0,326.6309509277344,261.6698913574219,1.0
23,86.17185974121094,274.4566955566406,1.0,327.2052001953125,262.0044860839844,1.0
24,86.09815216064453,274.4202880859375,1.0,326.86669921875,262.0776672363281,1.0
25,85.87763977050781,274.35321044921875,1.0,326.8838195800781,262.18511962890625,1.0
26,85.96878814697266,274.2727966308594,1.0,326.97589111328125,262.1836853027344,1.0
27,85.84849548339844,274.209228515625,1.0,326.3052062988281,262.17816162109375,1.0
28,85.82057189941406,274.20001220703125,1.0,325.6572265625,261.57989501953125,1.0
29,86.03245544433594,274.3009948730469,1.0,325.6930236816406,261.5540771484375,1.0
30,85.90048217773438,274.04730224609375,1.0,325.8335266113281,261.6651306152344,1.0
31,85.76683044433594,273.0499267578125,1.0,325.5673522949219,261.65045166015625,1.0
32,85.54053497314453,272.748291015625,1.0,325.5331726074219,261.6732177734375,1.0
33,85.66061401367188,272.2418212890625,1.0,325.23175048828125,261.7847595214844,1.0
34,85.24547576904297,272.2098388671875,1.0,325.0325012207031,262.1741943359375,1.0
35,85.35662841796875,272.3896789550781,1.0,325.47894287109375,262.400634765625,1.0
36,85.4853286743164,272.3634033203125,1.0,325.1931457519531,262.0389709472656,1.0
37,85.36470031738281,272.1236572265625,1.0,325.3112487792969,262.4306945800781,1.0
38,85.40815734863281,272.1163024902344,1.0,325.2374267578125,262.33740234375,1.0
39,85.11526489257812,271.34991455078125,1.0,325.4906005859375,262.54119873046875,1.0
40,85.22429656982422,271.0615539550781,1.0,325.5928039550781,262.6520080566406,1.0
41,85.50445556640625,271.3800964355469,1.0,325.787109375,262.7203674316406,1.0
42,85.03441619873047,271.76580810546875,1.0,325.5447082519531,262.629150390625,1.0
43,84.87286376953125,272.08636474609375,1.0,325.2570495605469,262.4190979003906,1.0
44,84.78922271728516,271.5830993652344,1.0,325.0964660644531,262.3966369628906,1.0
45,84.68807983398438,271.1171875,1.0,324.7170715332031,262.3917236328125,1.0
46,84.64201354980469,270.62469482421875,1.0,324.497802734375,262.1740417480469,1.0
47,84.61317443847656,270.22021484375,1.0,324.50469970703125,262.71002197265625,1.0
48,84.53744506835938,270.3477783203125,1.0,324.53570556640625,262.7069091796875,1.0
49,85.10072326660156,270.5836181640625,1.0,325.01611328125,263.1453552246094,1.0
50,85.00635528564453,270.8540344238281,1.0,325.0881042480469,263.51226806640625,1.0
51,85.3260269165039,271.22222900390625,1.0,324.7282409667969,263.1242370605469,1.0
52,85.21111297607422,271.9065856933594,1.0,324.3230895996094,262.8666076660156,1.0
53,85.02413940429688,272.64776611328125,1.0,324.4452209472656,262.9262390136719,1.0
54,85.25450134277344,274.3994445800781,1.0,324.3446960449219,262.8985290527344,1.0
55,85.28266906738281,274.3713073730469,1.0,324.4245910644531,262.85955810546875,1.0
56,84.93732452392578,272.60614013671875,1.0,324.3229675292969,262.8932189941406,1.0
57,85.13565826416016,271.9936218261719,1.0,324.3554992675781,263.1157531738281,1.0
58,85.60177612304688,271.08367919921875,1.0,324.5633850097656,263.3612976074219,1.0
59,85.31795501708984,270.8780822753906,1.0,324.69305419921875,263.442626953125,1.0
60,85.21156311035156,270.9010009765625,1.0,324.9349060058594,263.54351806640625,1.0
61,85.58543395996094,271.0606384277344,1.0,325.1084899902344,263.6798095703125,1.0
62,85.70330047607422,270.9106750488281,1.0,325.2085876464844,263.84393310546875,1.0
63,85.888916015625,271.1113586425781,1.0,325.78472900390625,263.5470886230469,1.0
64,85.86285400390625,271.368408203125,1.0,326.19732666015625,263.6844177246094,1.0
65,86.0774917602539,271.4564208984375,1.0,326.1107482910156,263.5544128417969,1.0
66,85.71966552734375,271.7587585449219,1.0,326.245849609375,263.285400390625,1.0
67,85.73311614990234,271.8061828613281,1.0,325.763427734375,263.204833984375,1.0
68,85.48270416259766,272.1287841796875,1.0,325.7735595703125,263.1345520019531,1.0
69,85.34124755859375,272.68359375,1.0,326.3967590332031,262.97564697265625,1.0
70,85.15784454345703,272.76263427734375,1.0,326.36517333984375,263.04974365234375,1.0
71,85.10990142822266,272.76666259765625,1.0,326.3755798339844,263.2732849121094,1.0
72,85.07288360595703,272.7727355957031,1.0,326.9378356933594,262.948486328125,1.0
73,85.16707611083984,273.8669128417969,1.0,326.6468200683594,263.03668212890625,1.0
74,85.43205261230469,273.018798828125,1.0,325.8276062011719,262.408447265625,1.0
75,85.57752990722656,273.15435791015625,1.0,325.4569091796875,262.25335693359375,1.0
76,85.74356079101562,273.04754638671875,1.0,325.01348876953125,261.8347473144531,1.0
77,85.88789367675781,273.0777587890625,1.0,324.94830322265625,261.7875061035156,1.0
78,85.9834976196289,272.7210693359375,1.0,324.9922790527344,261.95513916015625,1.0
79,85.78076934814453,272.5891418457031,1.0,325.53070068359375,262.09271240234375,1.0
80,85.7020492553711,272.6004638671875,1.0,325.22119140625,262.22198486328125,1.0
81,85.74580383300781,272.4572448730469,1.0,325.152587890625,262.0040283203125,1.0
82,85.88258361816406,272.3539123535156,1.0,325.31597900390625,262.0373840332031,1.0
83,85.95642852783203,272.0992431640625,1.0,325.0610046386719,261.8875732421875,1.0
84,85.94927215576172,271.89453125,1.0,324.92694091796875,261.90228271484375,1.0
85,86.07643127441406,271.9736022949219,1.0,324.72784423828125,261.6790771484375,1.0
86,85.96007537841797,272.2688903808594,1.0,325.2228088378906,261.674560546875,1.0
87,85.91407775878906,272.28179931640625,1.0,325.6266784667969,261.733154296875,1.0
88,85.64602661132812,272.0281066894531,1.0,326.0022277832031,261.9262390136719,1.0
89,85.78467559814453,272.4174499511719,1.0,326.1607971191406,262.05975341796875,1.0
90,85.7138671875,272.62579345703125,1.0,326.3796081542969,262.255126953125,1.0
91,85.497802734375,272.9343566894531,1.0,326.172119140625,262.1352844238281,1.0
92,85.47675323486328,272.7718811035156,1.0,326.7351379394531,262.190673828125,1.0
93,85.70097351074219,272.8508605957031,1.0,326.7752380371094,262.3957824707031,1.0
94,86.02633666992188,272.82293701171875,1.0,326.9800720214844,262.0203552246094,1.0
95,85.96920776367188,272.9521484375,1.0,326.8379821777344,262.1136474609375,1.0
96,86.19869995117188,273.0666198730469,1.0,326.92608642578125,262.28466796875,1.0
97,86.16934967041016,273.1369934082031,1.0,326.9841613769531,262.2481689453125,1.0
98,86.120849609375,273.99969482421875,1.0,326.96026611328125,262.25048828125,1.0
99,86.13371276855469,274.17303466796875,1.0,327.07958984375,262.4378356933594,1.0
100,86.12157440185547,274.2713317871094,1.0,327.1761169433594,262.3342590332031,1.0
101,86.09967041015625,274.3324890136719,1.0,326.9645690917969,262.2633056640625,1.0
102,86.08426666259766,274.3202819824219,1.0,326.99267578125,262.3421936035156,1.0
103,86.08368682861328,274.4337158203125,1.0,327.1358947753906,262.3601379394531,1.0
104,86.18021392822266,274.3738098144531,1.0,326.94244384765625,262.2838134765625,1.0
105,86.24683380126953,274.3822937011719,1.0,326.951416015625,262.1881103515625,1.0
106,86.44058990478516,274.418701171875,1.0,327.19158935546875,262.46405029296875,1.0
107,86.38375854492188,274.3687438964844,1.0,326.66204833984375,262.32720947265625,1.0
108,86.37285614013672,273.1368713378906,1.0,326.666259765625,262.466796875,1.0
109,85.98028564453125,272.8140869140625,1.0,326.8941345214844,262.45489501953125,1.0
110,86.27381134033203,272.81103515625,1.0,326.6216125488281,262.1462097167969,1.0
111,85.81675720214844,272.79815673828125,1.0,326.72503662109375,262.2288513183594,1.0
112,85.80257415771484,272.72637939453125,1.0,326.6199951171875,262.1197509765625,1.0
113,85.78153228759766,272.78973388671875,1.0,326.6860656738281,262.241943359375,1.0
114,85.87486267089844,272.7262878417969,1.0,326.5809631347656,262.19970703125,1.0
115,85.89511108398438,272.6945495605469,1.0,326.64532470703125,262.15948486328125,1.0
116,85.87997436523438,272.46881103515625,1.0,326.5841369628906,262.14031982421875,1.0
117,86.01569366455078,272.742431640625,1.0,326.5759582519531,262.0615234375,1.0
118,85.81844329833984,272.8002014160156,1.0,326.58270263671875,262.1012878417969,1.0
119,85.9291000366211,272.60693359375,1.0,326.62445068359375,262.00445556640625,1.0
120,86.02133178710938,272.5432434082031,1.0,326.6023864746094,261.950439453125,1.0
121,85.9276351928711,272.39752197265625,1.0,326.768798828125,262.1631164550781,1.0
122,85.85140228271484,272.42645263671875,1.0,326.76641845703125,262.2350769042969,1.0
123,85.7644271850586,272.27239990234375,1.0,326.79803466796875,262.1983947753906,1.0
124,85.84613800048828,272.0518798828125,1.0,326.7787780761719,262.1485595703125,1.0
125,85.7260971069336,272.1378479003906,1.0,326.83599853515625,262.409423828125,1.0
126,85.55390930175781,272.2740478515625,1.0,326.9942321777344,262.35748291015625,1.0
127,85.60333251953125,272.16973876953125,1.0,326.5119934082031,262.31109619140625,1.0
128,85.36065673828125,271.8837890625,1.0,326.8618469238281,262.147705078125,1.0
129,85.25992584228516,271.393798828125,1.0,326.708984375,262.4432373046875,1.0
130,85.18946075439453,271.05072021484375,1.0,326.76129150390625,262.40447998046875,1.0
131,85.27778625488281,271.4058532714844,1.0,326.7052307128906,262.54766845703125,1.0
132,85.38885498046875,271.696533203125,1.0,326.71990966796875,262.29376220703125,1.0
133,85.37312316894531,271.6701965332031,1.0,326.79986572265625,262.5909729003906,1.0
134,85.1426773071289,271.61016845703125,1.0,325.72406005859375,262.3398132324219,1.0
135,84.89266967773438,271.0129699707031,1.0,324.82537841796875,262.694091796875,1.0
136,84.26229095458984,270.93798828125,1.0,324.25006103515625,263.0269470214844,1.0
137,84.18138122558594,270.4318542480469,1.0,324.11529541015625,263.44500732421875,1.0
138,84.41028594970703,269.3934020996094,1.0,323.6549072265625,264.4118957519531,1.0
139,84.35203552246094,268.7042541503906,1.0,323.96209716796875,265.7581481933594,1.0
140,84.84861755371094,267.93896484375,1.0,325.1949768066406,268.2781982421875,1.0
141,85.327880859375,267.8357238769531,1.0,325.65679931640625,270.33062744140625,1.0
142,85.79016876220703,268.0535583496094,1.0,326.2470703125,272.0900573730469,1.0
143,85.59966278076172,268.3797302246094,1.0,326.5278625488281,275.85455322265625,1.0
144,85.96170043945312,268.59088134765625,1.0,326.1549377441406,279.88250732421875,1.0
145,86.9417953491211,268.805419921875,1.0,329.0186767578125,283.6824645996094,1.0
146,88.95185089111328,269.054443359375,1.0,330.270263671875,286.66522216796875,1.0
147,90.52887725830078,269.40203857421875,1.0,332.0210876464844,287.0897521972656,1.0
148,91.4096908569336,269.3504638671875,1.0,332.0967102050781,287.55926513671875,1.0
149,91.4635238647461,269.6949768066406,1.0,332.3885192871094,287.75,1.0
150,90.57521057128906,272.0408020019531,1.0,330.9588317871094,286.1156921386719,1.0
151,91.158203125,276.18670654296875,1.0,332.11346435546875,282.8620910644531,1.0
152,91.8675308227539,278.68603515625,1.0,332.32183837890625,277.61962890625,1.0
153,92.22029113769531,281.0143737792969,1.0,333.2821350097656,272.7182922363281,1.0
154,92.54679870605469,281.8910827636719,1.0,334.208740234375,271.314208984375,1.0
155,90.83992004394531,281.0311584472656,1.0,335.7808532714844,268.2289733886719,1.0
156,89.80364227294922,275.3219299316406,1.0,336.2040100097656,265.9142761230469,1.0
157,89.6436538696289,269.4600830078125,1.0,336.0216064453125,265.30169677734375,1.0
158,89.30062103271484,267.1829528808594,1.0,334.6751403808594,267.67767333984375,1.0
159,89.55706787109375,266.9908142089844,1.0,334.9978332519531,271.1011047363281,1.0
160,89.02090454101562,267.6233215332031,1.0,333.3197326660156,275.2325134277344,1.0
161,88.64016723632812,268.21771240234375,1.0,330.570068359375,280.4454345703125,1.0
162,86.8927230834961,269.3447570800781,1.0,327.0231018066406,285.096923828125,1.0
163,86.0443344116211,269.6729736328125,1.0,325.1746826171875,288.93536376953125,1.0
164,87.14478302001953,269.66748046875,1.0,325.9612121582031,291.306884765625,1.0
165,89.59410095214844,268.53289794921875,1.0,328.2137145996094,291.0211181640625,1.0
166,91.81970977783203,268.1376037597656,1.0,331.3175354003906,291.08233642578125,1.0
167,91.66300964355469,269.8207702636719,1.0,332.929443359375,290.4162292480469,1.0
168,91.23103332519531,274.0853271484375,1.0,335.1103820800781,287.36090087890625,1.0
169,92.21500396728516,277.9830627441406,1.0,336.9449768066406,282.73907470703125,1.0
170,95.3169937133789,281.1266174316406,1.0,341.29046630859375,276.5207214355469,1.0
171,96.70732879638672,282.2210388183594,1.0,341.0224914550781,271.605224609375,1.0
172,95.85027313232422,281.70611572265625,1.0,343.1241760253906,268.7108154296875,1.0
173,94.11695098876953,279.82135009765625,1.0,341.25006103515625,263.82415771484375,1.0
174,91.7247085571289,273.5597229003906,1.0,339.23492431640625,261.7221984863281,1.0
175,90.00395202636719,268.0209655761719,1.0,337.6676940917969,260.87933349609375,1.0
176,88.5921859741211,266.0491027832031,1.0,336.3894348144531,262.353515625,1.0
177,88.81172180175781,264.4495544433594,1.0,335.1881408691406,264.0200500488281,1.0
178,88.77396392822266,263.36041259765625,1.0,334.345947265625,266.9654846191406,1.0
179,88.62329864501953,262.9172058105469,1.0,332.7386474609375,270.3193054199219,1.0
180,89.18573760986328,262.43426513671875,1.0,331.6863708496094,271.9056091308594,1.0
181,90.06388092041016,262.2991943359375,1.0,331.5740661621094,272.7455749511719,1.0
182,90.37760162353516,262.6796875,1.0,330.6939392089844,274.8393859863281,1.0
183,93.10185241699219,262.1647644042969,1.0,333.24957275390625,274.7749938964844,1.0
184,97.17826843261719,262.7428283691406,1.0,337.7384338378906,274.9972229003906,1.0
185,96.84381866455078,264.5392761230469,1.0,339.435791015625,274.967041015625,1.0
186,95.05357360839844,267.9388427734375,1.0,340.0672607421875,274.7957458496094,1.0
187,91.57750701904297,271.4120178222656,1.0,339.8271179199219,271.4312744140625,1.0
188,91.32254028320312,277.2085876464844,1.0,338.65972900390625,267.1769104003906,1.0
189,89.17581939697266,279.537841796875,1.0,336.6360778808594,263.8020935058594,1.0
190,87.13455963134766,281.4879150390625,1.0,334.14190673828125,261.6667175292969,1.0
191,85.43277740478516,279.201904296875,1.0,332.1759338378906,258.4428405761719,1.0
192,84.65933990478516,274.6720886230469,1.0,331.33160400390625,256.9397888183594,1.0
193,82.45297241210938,269.3077392578125,1.0,330.4208984375,256.44024658203125,1.0
194,80.99433135986328,266.1648254394531,1.0,330.0963439941406,258.3007507324219,1.0
195,81.6611557006836,263.3460388183594,1.0,329.9694519042969,259.87896728515625,1.0
196,82.05650329589844,262.3047790527344,1.0,329.5797424316406,262.0592346191406,1.0
197,82.93753814697266,261.5805358886719,1.0,329.1506652832031,264.6965026855469,1.0
198,82.74354553222656,260.72113037109375,1.0,329.05010986328125,267.0899353027344,1.0
199,82.60383605957031,260.04278564453125,1.0,329.326171875,268.59710693359375,1.0
200,83.13382720947266,259.8909912109375,1.0,328.57568359375,270.6933898925781,1.0
201,84.19245147705078,259.7898254394531,1.0,327.429931640625,272.0589599609375,1.0
202,85.96925354003906,259.7665710449219,1.0,327.6192321777344,273.02435302734375,1.0
203,87.76875305175781,260.2471008300781,1.0,329.3573303222656,275.0359802246094,1.0
204,90.12604522705078,260.79425048828125,1.0,331.3744812011719,275.7080383300781,1.0
205,91.3224868774414,261.80126953125,1.0,332.9533386230469,277.916748046875,1.0
206,90.88847351074219,263.7110900878906,1.0,334.500244140625,277.99932861328125,1.0
207,89.68531799316406,266.8866882324219,1.0,333.72314453125,277.6878662109375,1.0
208,89.91808319091797,269.5053405761719,1.0,334.9327697753906,274.5567932128906,1.0
209,89.30512237548828,274.5118408203125,1.0,336.41864013671875,269.59051513671875,1.0
210,89.79254150390625,277.7835998535156,1.0,335.03375244140625,266.20263671875,1.0
211,88.18589782714844,280.4414367675781,1.0,333.2738342285156,263.3651123046875,1.0
212,84.06837463378906,280.8391418457031,1.0,330.1134948730469,262.73162841796875,1.0
213,82.5643310546875,278.82354736328125,1.0,328.271484375,262.5574951171875,1.0
214,80.6690902709961,275.5810546875,1.0,328.6595153808594,261.629638671875,1.0
215,80.89408874511719,271.2034912109375,1.0,326.552734375,260.29998779296875,1.0
216,80.84881591796875,268.41864013671875,1.0,326.4320068359375,260.7326354980469,1.0
217,80.69172668457031,266.8332824707031,1.0,325.9378967285156,260.8014221191406,1.0
218,80.78601837158203,265.56756591796875,1.0,324.76824951171875,261.7811279296875,1.0
219,80.67744445800781,263.4720458984375,1.0,325.2295227050781,263.06732177734375,1.0
220,81.75281524658203,262.01947021484375,1.0,326.875,264.3724365234375,1.0
221,83.24600219726562,261.1278991699219,1.0,327.80865478515625,265.5115051269531,1.0
222,84.97747802734375,260.5999755859375,1.0,329.1139221191406,266.3670654296875,1.0
223,85.99837493896484,260.39013671875,1.0,330.23114013671875,267.40191650390625,1.0
224,87.30870819091797,260.6347351074219,1.0,330.0771789550781,267.8425598144531,1.0
225,88.46035766601562,260.9679870605469,1.0,331.2926940917969,268.3037414550781,1.0
226,90.97636413574219,260.69091796875,1.0,332.41204833984375,270.38653564453125,1.0
