1,23,7.85903846372883,1,23,159,648
2,4,11.4997604216579,31,34,2165,2229
3,64,6.70761104240468,42,105,3704,5302
4,483,6.19149009810243,106,588,5385,18396
5,184,6.13261786124952,589,772,18479,23496
6,111,7.19632792780333,773,883,23568,26154
7,119,6.33554988846238,884,1002,26234,29371
8,52,5.43969091397269,1003,1054,29457,31057
9,111,5.79672806904547,1055,1165,31157,34356
10,214,5.49913658416249,1166,1379,34435,40932
11,49,5.88659298414225,1381,1429,41124,42520
12,62,5.94840240622473,1430,1491,42639,44389
13,48,5.60496662320223,1492,1539,44492,45926
14,23,5.00025363605402,1540,1562,46042,46819
15,30,7.45520663347714,1563,1592,46893,47566
16,22,4.80793746767386,1595,1616,47871,48639
17,20,7.66655592752557,1617,1636,48720,49161
18,12,4.1172501343825,1637,1648,49287,49786
19,25,6.23120253900732,1652,1676,50003,50753
20,6,4.88042947779405,1677,1682,50761,50975
